scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T49_hm1,49,1,1.58,0.1212155152,False,
T49_hm1,49,1,1.6,0.1201946266,False,
T49_hm1,49,1,1.62,0.1191323493,False,
T49_hm1,49,1,1.64,0.1180251987,False,
T49_hm1,49,1,1.66,0.1168691551,False,
T49_hm1,49,1,1.68,0.1156587413,False,
T49_hm1,49,1,1.7,0.1143886704,False,
T49_hm1,49,1,1.72,0.1130527488,False,
T49_hm1,49,1,1.74,0.1116431099,False,
T49_hm1,49,1,1.76,0.1101501977,False,
T49_hm1,49,1,1.78,0.1085602127,False,
T49_hm1,49,1,1.8,0.1068595025,False,
T49_hm1,49,1,1.82,0.1050290304,False,
T49_hm1,49,1,1.84,0.1030435017,False,
T49_hm1,49,1,1.86,0.1008679044,False,
T49_hm1,49,1,1.88,0.09844884824,False,
T49_hm1,49,1,1.9,0.09571612134,False,
T49_hm1,49,1,1.92,0.09255214264,False,
T49_hm1,49,1,1.94,0.08874919767,False,
T49_hm1,49,1,1.96,0.08386157799,False,
